Comment,Designator,Footprint,LCSC
K2-1107ST-A4SW-06,"SW1,SW2",KEY-SMD_L6.2-W3.6-LS8.0,C118141
LTST-C191KRKT,LED1,LED0603-RD,C125099
10k,R1,R_0603_1608Metric,C13564
100n,"C2,C4,C5",C_0603_1608Metric,C1591
1u,C3,C_0603_1608Metric,C1592
1k,R2,R_0603_1608Metric,C1603
ESP32-S3-WROOM-1-N8,U1,WIFIM-SMD_ESP32-S3-WROOM-1-N8,C2913198
NASB0-S6701-TS50,CN1,CONN-SMD_67P-P0.50-V_NASB0-S6701-TS50,C367024
22u,C1,C_0603_1608Metric,C59461
~,U2,NGFF_M,
MountingHole,H1,MountingHole_2.5mm_Pad_TopBottom,
